,Month,Billed Cost,Occupancy Pct,Energy Demand,Billed Usage,Property Area
68,March,52181,0.73,1398,426564,309250
69,April,50553,0.73,1430,410236,309250
70,May,47492,0.76,1186,389590,309250
71,June,62961,0.76,1299,426233,309250
72,July,68358,0.76,1303,450315,309250
73,August,64774,0.78,1336,430141,309250
74,September,64366,0.78,1390,419372,309250
75,October,46187,0.78,1220,367949,309250
76,November,52679,0.78,1377,422089,309250
77,December,49993,0.78,1411,415748,309250
78,January,54674,0.78,1518,454967,309250
79,February,54596,0.78,1483,467499,309250
80,March,44824,0.78,1502,373411,309250
81,April,38861,0.78,1197,323966,309250
82,May,41446,0.91,1215,338712,309250
83,June,52360,0.91,1185,341878,309250
84,July,60056,0.91,1370,402235,309250
85,August,62408,0.91,1405,407793,309250
86,September,57450,0.91,1343,369126,309250
6,January,6262,1.0,251,66699,31396
7,February,5803,1.0,266,62687,31396
8,March,5211,1.0,240,57794,31396
9,April,5365,1.0,202,58226,31396
10,May,4548,1.0,170,50742,31396
11,June,4716,1.0,161,52886,31396
12,July,5352,1.0,165,58719,31396
13,August,4745,1.0,150,51252,31396
14,September,3946,1.0,141,40079,31396
15,October,4428,1.0,163,45905,31396
16,November,4324,1.0,174,43321,31396
17,December,6204,1.0,223,65618,31396
18,January,6524,1.0,273,68642,31396
19,February,5336,1.0,255,58532,31396
20,March,5926,1.0,240,65338,31396
21,April,4225,1.0,193,47221,31396
22,May,4017,1.0,141,47922,31396
23,June,4805,1.0,154,51928,31396
24,July,4590,1.0,151,48374,31396
25,August,4353,1.0,141,47000,31396
26,September,4983,1.0,145,50578,31396
27,October,4008,1.0,161,40301,31396
28,November,5163,1.0,166,52276,31396
29,December,4668,1.0,172,46969,31396
42,January,5890,1.0,254,55714,31396
43,February,4142,1.0,224,39107,31396
44,March,4067,1.0,190,37511,31396
45,April,3470,1.0,170,31988,31396
46,May,3146,1.0,141,29488,31396
47,June,3966,1.0,125,39632,31396
48,July,4250,1.0,138,45059,31396
49,August,3652,1.0,140,38268,31396
50,September,4032,1.0,130,41346,31396
51,October,3004,1.0,129,30562,31396
52,November,3956,1.0,166,37186,31396
53,December,3948,1.0,127,43937,31396
54,January,4092,0.83,177,39941,31396
55,February,3469,0.83,174,33684,31396
56,March,3908,0.83,192,37278,31396
57,April,3198,0.83,111,35273,31396
58,May,3393,0.83,142,32808,31396
59,June,3593,0.83,129,37719,31396
60,July,4103,0.83,126,42189,31396
61,August,3184,0.83,128,35254,31396
62,September,3715,0.83,117,38296,31396
63,October,3147,0.83,113,29684,31396
64,November,3589,0.83,170,31782,31396
65,December,3905,0.83,172,38939,31396
66,January,5615,0.83,203,58883,31396
67,February,5119,0.83,183,48893,31396
68,March,3846,0.83,165,38001,31396
69,April,3404,0.83,142,32398,31396
70,May,3710,0.83,122,37729,31396
71,June,3199,0.83,116,32410,31396
72,July,2637,0.83,112,36644,31396
73,August,3229,0.83,106,33708,31396
74,September,3828,0.83,115,38254,31396
75,October,3057,1.0,111,31048,31396
76,November,3626,1.0,137,33948,31396
77,December,3791,1.0,140,35264,31396
78,January,3310,1.0,168,34697,31396
79,February,4021,1.0,160,37398,31396
80,March,3326,1.0,131,31185,31396
81,April,3088,1.0,120,27240,31396
82,May,1594,1.0,102,24685,31396
83,June,3029,1.0,106,27728,31396
12,January,2715,1.0,56,21900,92173
13,February,2484,1.0,55,20000,92173
14,March,2508,1.0,48,20900,92173
15,April,2089,1.0,38,16963,92173
16,May,2388,1.0,51,18814,92173
17,June,2643,1.0,52,21086,92173
18,July,2463,1.0,54,19401,92173
19,August,2845,1.0,57,23685,92173
20,September,2514,1.0,55,19836,92173
21,October,2526,1.0,49,20121,92173
22,November,3083,1.0,57,24925,92173
23,December,3770,1.0,64,30994,92173
24,January,3755,1.0,70,33321,92173
25,February,3135,1.0,59,27271,92173
26,March,3013,1.0,55,25661,92173
27,April,2156,1.0,45,17962,92173
28,May,2098,1.0,43,17308,92173
29,June,2257,1.0,41,18980,92173
30,July,2146,1.0,52,17780,92173
31,August,2337,1.0,52,19563,92173
32,September,2261,1.0,57,18406,92173
33,October,8135,0.26,246,63351,92173
34,November,8069,0.26,210,60630,92173
35,December,11645,0.26,242,82278,92173
48,January,2590,0.74,206,30130,92173
49,February,2447,0.74,201,27907,92173
50,March,3099,0.74,174,27401,92173
51,April,2748,0.74,150,27231,92173
52,May,2711,0.74,141,28154,92173
53,June,2993,0.74,137,28738,92173
54,July,2735,0.74,153,28724,92173
60,January,4152,0.74,152,30468,92173
61,February,3582,0.74,157,25503,92173
62,March,3400,0.74,164,23359,92173
63,April,2342,0.74,88,18781,92173
64,May,2743,0.74,107,21978,92173
65,June,2487,0.74,94,19619,92173
66,July,2434,0.74,103,19024,92173
67,August,2701,0.74,117,21197,92173
68,September,2627,0.74,104,18941,92173
69,October,2680,0.74,127,19908,92173
70,November,2968,0.74,140,22374,92173
71,December,6594,0.74,275,38657,92173
72,January,3257,0.74,167,23159,92173
73,February,2765,0.74,131,20944,92173
74,March,2801,0.74,130,20782,92173
75,April,2348,0.74,85,19103,92173
76,May,2446,0.74,87,18859,92173
77,June,2730,0.74,141,20365,92173
78,July,2269,0.74,93,17592,92173
79,August,2547,0.74,122,18123,92173
80,September,2495,0.74,106,19104,92173
81,October,2901,0.74,158,20732,92173
82,November,3955,0.74,194,27179,92173
83,December,4141,0.74,196,29567,92173
84,January,5299,0.74,290,30802,92173
85,February,4429,0.74,229,26919,92173
86,March,4110,0.74,198,26991,92173
87,April,5065,0.74,184,38370,92173
88,May,4506,0.74,156,38618,92173
89,June,3884,0.74,140,35622,92173
6,January,25306,0.95,857,457880,130068
7,February,23098,0.95,816,414920,130068
8,March,11967,0.95,803,87880,130068
9,April,67276,0.95,1195,419240,130068
10,May,53538,0.95,807,358720,130068
11,June,61328,0.72,988,345880,130068
12,July,70604,0.72,982,424560,130068
13,August,61261,0.72,887,360960,130068
15,October,52614,0.72,800,395360,130068
16,November,55000,0.95,806,389280,130068
17,December,47233,0.95,832,344640,130068
23,June,55646,1.0,852,328040,130068
24,July,61061,1.0,887,368320,130068
25,August,54165,1.0,806,320920,130068
26,September,56160,1.0,902,313400,130068
27,October,47408,0.7,770,316720,130068
28,November,44011,0.7,722,310440,130068
29,December,53936,0.7,800,383160,130068
30,January,52226,0.7,822,362760,130068
31,February,58021,0.7,810,425560,130068
32,March,49773,0.7,776,354520,130068
33,April,43738,0.7,699,313200,130068
34,May,36644,0.7,652,249960,130068
35,June,37754,0.29,598,228240,130068
36,July,41461,0.29,669,229160,130068
37,August,40431,0.29,714,205720,130068
38,September,38358,0.29,593,217920,130068
39,October,29174,0.29,553,192200,130068
40,November,34276,0.29,506,243320,130068
41,December,36092,0.29,566,225880,130068
42,January,44576,0.42,591,276400,130068
43,February,41569,0.42,635,250560,130068
44,March,35180,0.42,588,202960,130068
45,April,32717,0.42,445,200440,130068
46,May,24847,0.41,378,147160,130068
47,June,26902,0.41,379,140040,130068
48,July,28545,0.41,454,132520,130068
49,August,36320,0.41,540,179760,130068
50,September,43586,0.49,666,211080,130068
51,October,43262,0.62,585,268440,130068
52,November,43005,0.62,608,267440,130068
53,December,47717,0.57,649,299080,130068
54,January,50622,0.71,693,299200,130068
55,February,49304,0.71,661,294360,130068
56,March,48257,0.71,681,282320,130068
57,April,44068,0.71,637,255280,130068
58,May,42576,0.71,635,243200,130068
59,June,51843,0.71,629,283800,130068
60,July,56508,0.71,724,287720,130068
61,August,60065,0.82,766,306000,130068
62,September,60970,0.82,796,306440,130068
63,October,52265,0.82,718,298360,130068
64,November,52645,0.82,714,307040,130068
65,December,52615,0.82,742,302120,130068
66,January,61962,0.82,728,362520,130068
67,February,52020,0.82,700,290520,130068
68,March,50513,0.82,715,278640,130068
69,April,49015,0.82,695,270240,130068
70,May,50873,0.82,731,278960,130068
71,June,54738,0.82,738,264960,130068
72,July,58297,0.82,748,282480,130068
73,August,60707,0.82,804,288320,130068
74,September,58211,0.82,824,264800,130068
75,October,45402,0.82,696,233360,130068
76,November,51525,0.82,711,283840,130068
77,December,49194,0.82,720,264600,130068
78,January,56287,0.9,743,318120,130068
79,February,45174,0.9,714,238280,130068
80,March,43088,0.9,690,225960,130068
81,April,38529,0.9,650,197040,130068
82,May,36511,0.9,677,177680,130068
83,June,42486,0.9,685,180040,130068
84,July,47836,0.82,729,207240,130068
85,August,47924,0.81,741,205320,130068
86,September,45883,0.81,718,194560,130068
6,January,6789,0.84,188,62240,58632
7,February,6209,0.89,157,56800,58632
8,March,6536,0.89,173,60320,58632
9,April,8738,0.9,265,72640,58632
10,May,10110,0.9,269,85920,58632
11,June,10284,0.86,277,83680,58632
12,July,11611,0.9,300,94080,58632
13,August,11454,0.9,290,93440,58632
14,September,9583,0.9,277,70400,58632
15,October,8208,0.9,223,63520,58632
16,November,7997,0.9,202,59840,58632
17,December,7742,0.9,186,58720,58632
18,January,7723,0.9,165,62400,58632
19,February,8893,0.9,204,58560,58632
20,March,8940,0.96,222,58400,58632
21,April,10039,0.96,232,68480,58632
22,May,11974,0.96,272,83200,58632
23,June,13218,0.96,288,94720,58632
24,July,12763,0.91,284,92960,58632
25,August,11999,0.91,306,95040,58632
26,September,9449,0.91,269,73000,58632
27,October,7944,0.91,220,64320,58632
28,November,7499,0.88,223,60480,58632
29,December,7027,0.88,173,61120,58632
42,January,5889,0.97,181,51840,58632
43,February,6404,0.97,175,54560,58632
44,March,7358,0.97,192,62080,58632
45,April,7187,0.97,220,61440,58632
46,May,7817,0.97,230,68640,58632
47,June,9015,0.97,238,83400,58632
48,July,9190,0.97,258,82080,58632
49,August,9771,0.93,259,89440,58632
50,September,8683,0.93,239,72960,58632
51,October,7228,0.93,216,57760,58632
52,November,6787,0.93,194,56000,58632
53,December,6230,0.93,141,57600,58632
54,January,5909,0.95,148,51360,58632
55,February,6409,0.95,183,53920,58632
56,March,6537,0.95,184,56320,58632
57,April,6342,1.0,192,56960,58632
58,May,7236,1.0,199,69280,58632
59,June,8549,0.92,224,82880,58632
60,July,8449,0.92,260,81760,58632
61,August,7633,0.92,242,72800,58632
62,September,7014,0.92,224,62560,58632
63,October,6346,0.92,172,60640,58632
64,November,5546,0.92,160,50400,58632
65,December,5606,0.92,137,53920,58632
66,January,5609,0.92,142,52000,58632
67,February,5643,0.92,177,44160,58632
68,March,6087,0.92,156,53920,58632
69,April,6246,0.92,198,52320,58632
70,May,7686,0.92,206,71200,58632
71,June,8399,0.92,248,74400,58632
72,July,8263,0.92,244,73120,58632
73,August,9390,0.92,253,85600,58632
74,September,7329,0.92,215,58400,58632
75,October,6993,0.92,206,56640,58632
76,November,5849,0.9,138,51840,58632
77,December,5889,0.9,153,48640,58632
78,January,6373,0.9,164,53280,58632
79,February,5954,0.9,142,50880,58632
80,March,6314,0.95,170,51200,58632
81,April,6949,0.95,206,56960,58632
82,May,7614,0.97,220,64480,58632
83,June,8106,0.97,225,70400,58632
6,January,4001,0.39,137,29000,79102
7,February,5994,0.39,276,42200,79102
8,March,4903,0.39,239,35600,79102
9,April,4104,0.39,202,31000,79102
10,May,2667,0.39,67,22100,79102
11,June,3061,0.39,62,21100,79102
12,July,2866,0.39,62,17600,79102
13,August,2765,0.39,48,17500,79102
14,September,2423,0.39,48,16800,79102
15,October,2732,0.39,74,17700,79102
16,November,3796,0.39,175,22500,79102
17,December,6266,0.39,273,40100,79102
18,January,6576,0.39,282,42500,79102
19,February,6039,0.39,269,36300,79102
20,March,5262,0.39,269,26600,79102
21,April,5016,0.39,223,27800,79102
22,May,3926,0.39,96,23700,79102
23,June,4559,0.39,124,29900,79102
24,July,5658,0.43,136,39100,79102
25,August,11908,0.68,279,88400,79102
26,September,15577,0.68,267,131400,79102
27,October,12689,0.68,271,112600,79102
28,November,12555,0.68,355,107100,79102
29,December,12709,0.68,358,87000,79102
42,January,11352,1.0,365,75853,79102
43,February,10870,1.0,341,72460,79102
44,March,9160,1.0,346,64537,79102
45,April,8071,1.0,255,62772,79102
46,May,6263,1.0,164,49511,79102
47,June,8115,1.0,177,65110,79102
48,July,8288,1.0,193,67434,79102
49,August,8431,1.0,197,67060,79102
50,September,7974,1.0,185,69111,79102
51,October,6911,1.0,185,59253,79102
52,November,7385,1.0,293,57110,79102
53,December,10673,1.0,383,71454,79102
54,January,12134,0.76,415,80982,79102
55,February,10243,0.76,317,64579,79102
56,March,8990,0.76,341,63424,79102
57,April,7375,0.76,227,57657,79102
58,May,6702,0.76,180,54901,79102
59,June,7855,0.76,192,70935,79102
60,July,7451,0.76,191,67402,79102
61,August,6998,0.23,181,62219,79102
62,September,9638,0.23,235,86906,79102
63,October,7989,0.31,278,69337,79102
64,November,8847,0.31,432,69070,79102
65,December,12398,0.41,522,90245,79102
66,January,16043,0.76,533,122784,79102
67,February,11512,0.76,492,85238,79102
68,March,10713,0.76,505,81382,79102
69,April,9547,0.76,401,78434,79102
70,May,7952,0.66,277,70264,79102
71,June,10212,0.76,265,98317,79102
72,July,10501,0.76,271,100063,79102
73,August,10476,0.76,270,97089,79102
74,September,11244,0.66,287,105209,79102
75,October,9810,0.66,276,92323,79102
76,November,10279,0.66,349,94232,79102
77,December,12362,0.66,560,100121,79102
78,January,14042,0.59,601,112702,79102
79,February,12466,0.59,456,100279,79102
80,March,11413,0.59,418,96759,79102
81,April,9653,0.59,284,83126,79102
82,May,10186,0.56,285,88177,79102
83,June,11024,0.56,266,106803,79102
11,June,26653,1.0,723,324600,201837
12,July,29919,1.0,813,349800,201837
13,August,26161,1.0,704,318600,201837
14,September,26608,1.0,716,306600,201837
15,October,24882,1.0,768,274800,201837
16,November,32250,1.0,966,357000,201837
17,December,36207,1.0,1138,397800,201837
18,January,33629,1.0,1098,417600,201837
19,February,30709,1.0,1096,354000,201837
20,March,29218,1.0,1028,327600,201837
21,April,27449,1.0,821,315000,201837
22,May,23706,1.0,705,314400,201837
23,June,26909,1.0,770,333600,201837
24,July,25319,1.0,752,313200,201837
25,August,26049,1.0,731,319800,201837
26,September,24584,1.0,689,297000,201837
27,October,27694,1.0,831,321600,201837
28,November,31104,1.0,990,351600,201837
29,December,36457,1.0,1057,400800,201837
42,January,33183,1.0,1043,394083,201837
43,February,26740,1.0,918,331898,201837
44,March,26976,1.0,787,318358,201837
45,April,23684,1.0,726,286652,201837
46,May,27040,1.0,729,326184,201837
47,June,27057,1.0,809,332291,201837
48,July,24228,1.0,840,316795,201837
49,August,26386,1.0,824,347491,201837
50,September,26140,1.0,779,357736,201837
51,October,25118,1.0,802,338201,201837
52,November,31697,1.0,914,419224,201837
53,December,30708,1.0,948,410570,201837
54,January,25990,1.0,862,356153,201837
55,February,31026,1.0,940,398354,201837
56,March,27340,1.0,1038,328842,201837
57,April,26616,1.0,787,365318,201837
58,May,26324,1.0,777,362406,201837
59,June,27934,1.0,813,377280,201837
60,July,27726,1.0,890,146985,201837
61,August,27726,1.0,890,146985,201837
62,September,27726,1.0,890,146985,201837
63,October,20360,1.0,812,318861,201837
64,November,25316,1.0,937,403848,201837
65,December,31870,1.0,1103,456036,201837
66,January,25177,1.0,1012,408345,201837
67,February,20985,1.0,925,331871,201837
68,March,22496,1.0,916,357228,201837
69,April,20200,1.0,831,326199,201837
70,May,25270,1.0,852,382166,201837
71,June,26487,1.0,961,354397,201837
72,July,29776,1.0,933,315227,201837
73,August,35613,1.0,891,360545,201837
74,September,20367,1.0,813,309361,201837
75,October,18168,1.0,773,289394,201837
76,November,26605,1.0,993,425084,201837
77,December,18659,1.0,962,365065,201837
78,January,29165,1.0,1027,425121,201837
79,February,22681,1.0,959,349076,201837
80,March,19503,1.0,806,296720,201837
81,April,20338,1.0,817,319029,201837
82,May,20427,1.0,885,353420,201837
83,June,15123,1.0,892,379666,201837
24,January,7763,1.0,140,65926,69531
25,February,6026,1.0,133,49365,69531
26,March,5723,0.96,142,45720,69531
27,April,5352,0.96,141,42708,69531
28,May,5347,0.96,136,42329,69531
29,June,5805,0.96,140,46492,69531
30,July,5374,0.96,147,42335,69531
31,August,5559,0.96,122,44401,69531
32,September,5012,0.96,106,39346,69531
33,October,5011,1.0,113,39413,69531
34,November,6105,1.0,134,49026,69531
35,December,8298,1.0,141,67655,69531
48,January,6781,1.0,174,54865,69531
49,February,6364,1.0,138,51494,69531
50,March,4209,1.0,121,31869,69531
51,April,4153,1.0,87,32435,69531
52,May,4672,1.0,92,35842,69531
53,June,6081,1.0,159,42829,69531
54,July,7096,1.0,175,50546,69531
55,August,5833,1.0,145,41996,69531
56,September,4996,1.0,138,35303,69531
57,October,5255,1.0,138,38269,69531
58,November,6478,1.0,219,44459,69531
59,December,6156,1.0,236,39924,69531
60,January,7684,0.67,157,56732,69531
61,February,7173,0.67,162,53271,69531
62,March,6410,0.67,172,47586,69531
63,April,4612,0.67,109,34084,69531
64,May,5478,0.67,137,41204,69531
65,June,5414,0.67,152,40987,69531
66,July,5614,0.76,150,43369,69531
67,August,5490,0.76,143,42140,69531
68,September,4841,0.76,146,35794,69531
69,October,5322,0.76,209,38383,69531
70,November,6129,0.76,232,43018,69531
71,December,9037,0.76,235,69249,69531
72,January,4629,0.76,226,48150,69531
73,February,5294,0.76,219,42364,69531
74,March,5309,0.76,210,42857,69531
75,April,4525,0.76,189,36286,69531
76,May,4469,0.76,147,36725,69531
77,June,4976,0.76,142,42336,69531
78,July,4618,0.76,141,37910,69531
79,August,4620,0.76,133,39782,69531
80,September,4163,0.76,115,34598,69531
81,October,4937,0.76,194,39163,69531
82,November,6175,0.76,210,51688,69531
83,December,5942,0.76,209,48862,69531
84,January,6993,0.76,270,57139,69531
85,February,5958,0.76,246,47551,69531
86,March,5057,0.76,224,38489,69531
87,April,4489,0.76,159,34965,69531
88,May,4833,0.83,147,39973,69531
89,June,5123,0.83,150,44396,69531
6,January,17571,1.0,631,202800,112781
7,February,16112,1.0,612,195000,112781
8,March,16708,1.0,576,193800,112781
9,April,15126,1.0,446,175800,112781
10,May,15813,1.0,557,180000,112781
11,June,18007,1.0,683,206400,112781
12,July,18602,1.0,645,213000,112781
13,August,16638,1.0,554,191400,112781
14,September,15000,1.0,509,161400,112781
15,October,15652,1.0,505,164400,112781
16,November,20454,1.0,847,211800,112781
17,December,22576,1.0,859,230400,112781
18,January,18786,1.0,742,226800,112781
19,February,18862,1.0,854,207600,112781
20,March,15509,1.0,754,166800,112781
21,April,14563,1.0,615,153600,112781
22,May,14134,1.0,398,160800,112781
23,June,15535,1.0,439,175800,112781
24,July,14827,1.0,457,156600,112781
25,August,15309,1.0,467,162600,112781
26,September,14324,1.0,416,145800,112781
27,October,14666,1.0,558,147600,112781
28,November,18540,1.0,641,182400,112781
29,December,19853,1.0,626,199800,112781
42,January,19954,1.0,719,210487,112781
43,February,16217,1.0,643,194837,112781
44,March,16807,1.0,598,169873,112781
45,April,14136,1.0,504,152161,112781
46,May,14568,1.0,431,156493,112781
47,June,15355,1.0,397,177746,112781
48,July,14138,1.0,428,175975,112781
49,August,14133,1.0,424,179344,112781
50,September,13982,1.0,420,158620,112781
51,October,12554,1.0,455,146050,112781
52,November,17353,1.0,641,185477,112781
53,December,18160,1.0,666,208453,112781
54,January,16373,0.92,646,193746,112781
55,February,17642,0.92,679,188918,112781
56,March,17016,0.92,720,171295,112781
57,April,12701,0.92,425,146622,112781
58,May,13653,0.92,405,157686,112781
59,June,13466,0.92,434,162527,112781
60,July,20476,1.0,419,169181,112781
61,August,14522,1.0,507,165770,112781
62,September,13504,1.0,492,143682,112781
63,October,11003,1.0,533,148931,112781
64,November,14460,1.0,616,206550,112781
65,December,20074,1.0,715,268721,112781
66,January,15747,1.0,665,238514,112781
67,February,13798,1.0,621,201415,112781
68,March,13580,1.0,580,197092,112781
69,April,12351,1.0,516,175961,112781
70,May,12992,1.0,476,168405,112781
71,June,10324,1.0,490,149540,112781
72,July,15775,0.92,544,160736,112781
73,August,22801,0.92,563,186603,112781
74,September,10992,0.92,522,145778,112781
75,October,10850,0.92,533,149434,112781
76,November,14589,0.92,607,206697,112781
77,December,10308,0.92,647,177295,112781
78,January,17173,0.92,734,230553,112781
79,February,12415,0.92,649,169208,112781
80,March,11984,0.92,599,162044,112781
81,April,10216,0.74,430,135654,112781
82,May,9893,0.74,506,152186,112781
